trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",25,3,32.730536161470624,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",20,15,7.841636584383597,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",30,-16,-115.40498989770535,"{0: 36, 1: 1, 2: 5, 3: 2, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,8,-43.41301000240416,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",30,13,3.893888166599994,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",25,3,5.150491970037875,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,6,-19.495240072822966,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",20,9,6.3138024847133085,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,2,-81.26140979843824,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,11,-7.502528512214269,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",30,10,14.056921365284015,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",20,-12,-79.58777777315814,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",30,0,-0.09443345577876494,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",30,16,12.853314995412655,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",20,2,-20.160611084072247,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",20,-3,-17.286396052500425,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",30,18,-24.19870907369544,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",20,6,13.47538434918593,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,6,-8.434740838742469,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,5,13.115609342416233,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",30,17,-8.203954994796842,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,13,0.8648875804487675,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",20,-24,18.008233977656197,"{0: 40, 1: 2, 2: 1, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",35,3,-110.9113568738196,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 4}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",20,-10,-15.04066289036103,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.232864462948006}",30,2,36.64929641143034,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,6,27.482375898214013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,10,18.993066693276592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,8,-118.73985786006199,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",20,-18,19.4143161546281,"{0: 36, 1: 1, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",30,8,22.21267430552738,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",30,10,12.29796998287835,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",30,22,15.053079197125797,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",30,19,21.288301539727726,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",35,13,-3.4445367431325797,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",25,-12,42.54671592192238,"{0: 35, 1: 0, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",20,2,7.102866819850194,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",30,16,-26.738410378914693,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",25,11,14.865060880753816,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",30,16,10.399415755940822,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",25,7,33.784858020921924,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,7,-0.9639027032291991,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",30,-3,11.032291191800082,"{0: 30, 1: 0, 2: 2, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",25,13,-11.565831233493457,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",20,6,-35.11650337850288,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",30,20,18.356734373141173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",20,0,-26.375108463263153,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,7,-7.229780068473536,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",20,4,-34.58110758166042,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",20,0,23.85399239230842,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",25,11,18.00204998537317,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",30,18,16.7467063293523,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",20,11,-24.427992786578653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",35,13,17.85299599464647,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",25,8,27.72946274441426,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",25,11,-40.371491968656315,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",25,16,13.927362007152235,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",20,-6,29.345092036529202,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",25,7,-11.297395187159061,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",20,5,23.635326263999826,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",20,10,23.289166507221125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",30,-2,28.178965424873713,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",20,10,20.00560599448999,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",20,12,-17.430613164227765,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
